year,indicator,LifeZone,"Modified Decay, Turnover and Spinup parameters"
1940,Deadwood,Tropical Dry,13.411091801284392
1940,Deadwood,Tropical Moist,23.355000784921085
1940,Deadwood,Tropical Premontane Wet,26.542145284722878
1940,Litter,Tropical Dry,12.061704467952001
1940,Litter,Tropical Moist,20.190997037050526
1940,Litter,Tropical Premontane Wet,24.46379648535339
1940,Soil Carbon,Tropical Dry,20.34203927494417
1940,Soil Carbon,Tropical Moist,70.65301084372325
1940,Soil Carbon,Tropical Premontane Wet,74.79903779301628
1940,Total Biomass,Tropical Dry,109.45261389698182
1940,Total Biomass,Tropical Moist,168.09556614483137
1940,Total Biomass,Tropical Premontane Wet,173.70463853354042
